BULTEN_TARIHI,MAL_TIPI,MAL_ADI,BIRIM,ASGARI_FIYAT,AZAMI_UCRET,ORTALAMA_UCRET
04/11/2025,SEBZE,SEMIZ OTU,ADET,20,35.0,27.5
04/11/2025,SEBZE,SOĞAN   KURU,KG,15,40.0,27.5
04/11/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
04/11/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
04/11/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
04/11/2025,SEBZE,Y.REYHAN,ADET,8,25.0,16.5
04/11/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
04/11/2025,SEBZE,ARMUT  DİĞER,KG,20,55.0,37.5
04/11/2025,SEBZE,AYVA,KG,20,60.0,40.0
04/11/2025,SEBZE,CILEK,KG,60,120.0,90.0
04/11/2025,SEBZE,ELMA  DİĞER,KG,15,50.0,32.5
04/11/2025,SEBZE,ELMA  STARKING,KG,20,50.0,35.0
04/11/2025,SEBZE,ERİK DİĞER,KG,300,500.0,400.0
04/11/2025,SEBZE,KIVI  ,KG,50,110.0,80.0
04/11/2025,SEBZE,LİMON DİĞER ,KG,25,60.0,42.5
04/11/2025,SEBZE,MANDALİNA DİĞER,KG,10,40.0,25.0
04/11/2025,SEBZE,NAR,KG,40,80.0,60.0
04/11/2025,SEBZE,PORTAKAL   FINIKE,KG,15,45.0,30.0
04/11/2025,SEBZE,AVAKADO,ADET,25,80.0,52.5
04/11/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,75.0,57.5
04/11/2025,SEBZE,MUZ  ITHAL,KG,45,130.0,87.5
04/11/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
04/12/2025,SEBZE,BİBER  DOLMA,KG,45,70.0,57.5
04/12/2025,SEBZE,BİBER  SİVRİ,KG,55,120.0,87.5
04/12/2025,SEBZE,BİBER KIRMIZI,KG,45,90.0,67.5
04/12/2025,SEBZE,BROKOLI,KG,20,45.0,32.5
04/12/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,40.0,25.0
04/12/2025,SEBZE,DOMATES CHERRY,KG,25,40.0,32.5
04/12/2025,SEBZE,DOMATES (KOKTEYL),KG,30,50.0,40.0
04/12/2025,SEBZE,ENGINAR,ADET,20,40.0,30.0
04/12/2025,SEBZE,FASULYE   CALI,KG,65,100.0,82.5
04/12/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
04/12/2025,SEBZE,KABAK TAZE,KG,30,55.0,42.5
04/12/2025,SEBZE,KARPUZ,KG,20,40.0,30.0
04/12/2025,SEBZE,KEREVIZ,KG,10,30.0,20.0
04/12/2025,SEBZE,LAHANA  BURUKSEL,KG,20,50.0,35.0
04/12/2025,SEBZE,MANTAR,KG,75,160.0,117.5
04/12/2025,SEBZE,MARUL,ADET,10,30.0,20.0
04/12/2025,SEBZE,MARUL KIVIRCIK,ADET,20,35.0,27.5
04/12/2025,SEBZE,PANCAR,KG,10,25.0,17.5
04/12/2025,SEBZE,PATLICAN  UZUN,KG,30,50.0,40.0
04/12/2025,SEBZE,PAZI,ADET,10,20.0,15.0
04/12/2025,SEBZE,SALATALIK ,KG,25,50.0,37.5
04/12/2025,SEBZE,SARIMSAK  KURU,KG,130,230.0,180.0
04/12/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,45.0,31.0
04/12/2025,SEBZE,SOĞAN   TAZE,KG,25,50.0,37.5
04/12/2025,SEBZE,TURP DİĞER,KG,10,25.0,17.5
04/12/2025,SEBZE,YERELMASI,KG,20,50.0,35.0
04/12/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
04/12/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
04/12/2025,SEBZE,ARMUT  DEVECI,KG,20,55.0,37.5
04/12/2025,SEBZE,ARMUT  S.MARIA,KG,25,60.0,42.5
04/12/2025,SEBZE,BADEM-ÇAĞLA,KG,80,145.0,112.5
04/12/2025,SEBZE,ELMA  AMASYA,KG,30,50.0,40.0
04/12/2025,SEBZE,ELMA  GOLDEN,KG,15,45.0,30.0
04/12/2025,SEBZE,ELMA GSMİT,KG,15,55.0,35.0
04/12/2025,SEBZE,GREYFURT,KG,15,35.0,25.0
04/12/2025,SEBZE,LİMON  YENİ (MAYER),KG,20,60.0,40.0
04/12/2025,SEBZE,LİMON LAMAS,KG,15,60.0,37.5
04/12/2025,SEBZE,MUZ  YERLI,KG,35,100.0,67.5
04/12/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
04/12/2025,SEBZE,PORTAKAL WASHINGTON,KG,15,40.0,27.5
04/12/2025,SEBZE,ANANAS,ADET,65,100.0,82.5
04/12/2025,SEBZE,BİBER KALİFORNİYA,KG,80,130.0,105.0
04/12/2025,SEBZE,MANGO,ADET,35,60.0,47.5
04/12/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
04/12/2025,SEBZE,BİBER  KIL ACI,KG,60,120.0,90.0
04/12/2025,SEBZE,BİBER ÇARLİSTON,KG,35,75.0,55.0
04/12/2025,SEBZE,BİBER KÖY(MAZO),KG,40,90.0,65.0
04/12/2025,SEBZE,CİBEZ,KG,20,55.0,37.5
04/12/2025,SEBZE,DOMATES  SALKIM,KG,20,45.0,32.5
04/12/2025,SEBZE,DOMATES (DİĞER),KG,25,50.0,37.5
04/12/2025,SEBZE,DOMATES PEMBE,KG,30,50.0,40.0
04/12/2025,SEBZE,FASULYE   AYSE,KG,70,140.0,105.0
04/12/2025,SEBZE,HAVUÇ,KG,15,35.0,25.0
04/12/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
04/12/2025,SEBZE,KARNABAHAR,KG,15,30.0,22.5
04/12/2025,SEBZE,KAVUN DİĞER,KG,40,120.0,80.0
04/12/2025,SEBZE,LAHANA  BEYAZ,KG,10,25.0,17.5
04/12/2025,SEBZE,LAHANA  KIRMIZI,KG,10,35.0,22.5
04/12/2025,SEBZE,MANTAR (İSTİRİDYE),KG,100,180.0,140.0
04/12/2025,SEBZE,MARUL AYSBERG,ADET,12,35.0,23.5
04/12/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
04/12/2025,SEBZE,PATATES DİĞER,KG,10,30.0,20.0
04/12/2025,SEBZE,PATLICAN TOPAN,KG,25,45.0,35.0
04/12/2025,SEBZE,PIRASA,KG,10,30.0,20.0
04/12/2025,SEBZE,SALATALIK  SİLOR,KG,25,45.0,35.0
04/12/2025,SEBZE,SEMIZ OTU,ADET,20,35.0,27.5
04/12/2025,SEBZE,SOĞAN   KURU,KG,15,40.0,27.5
04/12/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
04/12/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
04/12/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
04/12/2025,SEBZE,Y.REYHAN,ADET,8,25.0,16.5
04/12/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
04/12/2025,SEBZE,ARMUT  DİĞER,KG,20,55.0,37.5
04/12/2025,SEBZE,AYVA,KG,20,60.0,40.0
04/12/2025,SEBZE,CILEK,KG,60,120.0,90.0
04/12/2025,SEBZE,ELMA  DİĞER,KG,15,50.0,32.5
04/12/2025,SEBZE,ELMA  STARKING,KG,20,50.0,35.0
04/12/2025,SEBZE,ERİK DİĞER,KG,300,500.0,400.0
04/12/2025,SEBZE,KIVI  ,KG,50,110.0,80.0
04/12/2025,SEBZE,LİMON DİĞER ,KG,25,60.0,42.5
04/12/2025,SEBZE,MANDALİNA DİĞER,KG,10,40.0,25.0
04/12/2025,SEBZE,NAR,KG,40,80.0,60.0
04/12/2025,SEBZE,PORTAKAL   FINIKE,KG,15,45.0,30.0
04/12/2025,SEBZE,AVAKADO,ADET,25,80.0,52.5
04/12/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,75.0,57.5
04/12/2025,SEBZE,MUZ  ITHAL,KG,45,130.0,87.5
04/12/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
04/14/2025,SEBZE,BİBER  DOLMA,KG,45,70.0,57.5
04/14/2025,SEBZE,BİBER  SİVRİ,KG,55,120.0,87.5
04/14/2025,SEBZE,BİBER KIRMIZI,KG,45,90.0,67.5
04/14/2025,SEBZE,BROKOLI,KG,20,45.0,32.5
04/14/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,40.0,25.0
04/14/2025,SEBZE,DOMATES CHERRY,KG,25,40.0,32.5
04/14/2025,SEBZE,DOMATES (KOKTEYL),KG,30,50.0,40.0
04/14/2025,SEBZE,ENGINAR,ADET,20,40.0,30.0
04/14/2025,SEBZE,FASULYE   CALI,KG,65,100.0,82.5
04/14/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
04/14/2025,SEBZE,KABAK TAZE,KG,30,55.0,42.5
04/14/2025,SEBZE,KARPUZ,KG,20,40.0,30.0
04/14/2025,SEBZE,KEREVIZ,KG,10,30.0,20.0
04/14/2025,SEBZE,LAHANA  BURUKSEL,KG,20,50.0,35.0
04/14/2025,SEBZE,MANTAR,KG,75,160.0,117.5
04/14/2025,SEBZE,MARUL,ADET,10,30.0,20.0
04/14/2025,SEBZE,MARUL KIVIRCIK,ADET,20,35.0,27.5
04/14/2025,SEBZE,PANCAR,KG,10,25.0,17.5
04/14/2025,SEBZE,PATLICAN  UZUN,KG,30,50.0,40.0
04/14/2025,SEBZE,PAZI,ADET,10,20.0,15.0
04/14/2025,SEBZE,SALATALIK ,KG,25,45.0,35.0
04/14/2025,SEBZE,SARIMSAK  KURU,KG,130,230.0,180.0
04/14/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
04/14/2025,SEBZE,SOĞAN   TAZE,KG,25,50.0,37.5
04/14/2025,SEBZE,TURP DİĞER,KG,10,25.0,17.5
04/14/2025,SEBZE,YERELMASI,KG,20,50.0,35.0
04/14/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
04/14/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
04/14/2025,SEBZE,ARMUT  DEVECI,KG,20,55.0,37.5
04/14/2025,SEBZE,ARMUT  S.MARIA,KG,25,60.0,42.5
04/14/2025,SEBZE,BADEM-ÇAĞLA,KG,80,145.0,112.5
04/14/2025,SEBZE,ELMA  AMASYA,KG,30,50.0,40.0
04/14/2025,SEBZE,ELMA  GOLDEN,KG,15,45.0,30.0
04/14/2025,SEBZE,ELMA GSMİT,KG,15,55.0,35.0
04/14/2025,SEBZE,GREYFURT,KG,15,35.0,25.0
04/14/2025,SEBZE,LİMON  YENİ (MAYER),KG,20,60.0,40.0
04/14/2025,SEBZE,LİMON LAMAS,KG,15,60.0,37.5
04/14/2025,SEBZE,MUZ  YERLI,KG,35,100.0,67.5
04/14/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
04/14/2025,SEBZE,PORTAKAL WASHINGTON,KG,15,40.0,27.5
04/14/2025,SEBZE,ANANAS,ADET,65,100.0,82.5
04/14/2025,SEBZE,BİBER KALİFORNİYA,KG,80,130.0,105.0
04/14/2025,SEBZE,MANGO,ADET,35,60.0,47.5
04/14/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
04/14/2025,SEBZE,BİBER  KIL ACI,KG,60,120.0,90.0
04/14/2025,SEBZE,BİBER ÇARLİSTON,KG,35,75.0,55.0
04/14/2025,SEBZE,BİBER KÖY(MAZO),KG,40,90.0,65.0
04/14/2025,SEBZE,CİBEZ,KG,20,55.0,37.5
04/14/2025,SEBZE,DOMATES  SALKIM,KG,20,45.0,32.5
04/14/2025,SEBZE,DOMATES (DİĞER),KG,25,50.0,37.5
04/14/2025,SEBZE,DOMATES PEMBE,KG,30,50.0,40.0
04/14/2025,SEBZE,FASULYE   AYSE,KG,70,150.0,110.0
04/14/2025,SEBZE,HAVUÇ,KG,15,35.0,25.0
04/14/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
04/14/2025,SEBZE,KARNABAHAR,KG,15,30.0,22.5
04/14/2025,SEBZE,KAVUN DİĞER,KG,40,120.0,80.0
04/14/2025,SEBZE,LAHANA  BEYAZ,KG,10,25.0,17.5
04/14/2025,SEBZE,LAHANA  KIRMIZI,KG,10,35.0,22.5
04/14/2025,SEBZE,MANTAR (İSTİRİDYE),KG,100,180.0,140.0
04/14/2025,SEBZE,MARUL AYSBERG,ADET,12,35.0,23.5
04/14/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
04/14/2025,SEBZE,PATATES DİĞER,KG,10,30.0,20.0
04/14/2025,SEBZE,PATLICAN TOPAN,KG,25,45.0,35.0
04/14/2025,SEBZE,PIRASA,KG,10,30.0,20.0
04/14/2025,SEBZE,SALATALIK  SİLOR,KG,25,40.0,32.5
04/14/2025,SEBZE,SEMIZ OTU,ADET,20,35.0,27.5
04/14/2025,SEBZE,SOĞAN   KURU,KG,15,45.0,30.0
04/14/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
04/14/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
04/14/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
04/14/2025,SEBZE,Y.REYHAN,ADET,8,25.0,16.5
04/14/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
04/14/2025,SEBZE,ARMUT  DİĞER,KG,20,60.0,40.0
04/14/2025,SEBZE,AYVA,KG,20,60.0,40.0
04/14/2025,SEBZE,CILEK,KG,60,120.0,90.0
04/14/2025,SEBZE,ELMA  DİĞER,KG,15,55.0,35.0
04/14/2025,SEBZE,ELMA  STARKING,KG,20,60.0,40.0
04/14/2025,SEBZE,ERİK DİĞER,KG,300,500.0,400.0
04/14/2025,SEBZE,KIVI  ,KG,50,110.0,80.0
04/14/2025,SEBZE,LİMON DİĞER ,KG,25,60.0,42.5
04/14/2025,SEBZE,MANDALİNA DİĞER,KG,10,40.0,25.0
04/14/2025,SEBZE,NAR,KG,40,80.0,60.0
04/14/2025,SEBZE,PORTAKAL   FINIKE,KG,15,45.0,30.0
04/14/2025,SEBZE,AVAKADO,ADET,25,80.0,52.5
04/14/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,75.0,57.5
04/14/2025,SEBZE,MUZ  ITHAL,KG,45,130.0,87.5
04/14/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
04/15/2025,SEBZE,BİBER  DOLMA,KG,45,65.0,55.0
04/15/2025,SEBZE,BİBER  SİVRİ,KG,55,110.0,82.5
04/15/2025,SEBZE,BİBER KIRMIZI,KG,45,85.0,65.0
04/15/2025,SEBZE,BROKOLI,KG,20,50.0,35.0
04/15/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,40.0,25.0
04/15/2025,SEBZE,DOMATES CHERRY,KG,25,40.0,32.5
04/15/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
04/15/2025,SEBZE,ENGINAR,ADET,20,40.0,30.0
04/15/2025,SEBZE,FASULYE   CALI,KG,65,100.0,82.5
04/15/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
04/15/2025,SEBZE,KABAK TAZE,KG,30,50.0,40.0
04/15/2025,SEBZE,KARPUZ,KG,20,40.0,30.0
04/15/2025,SEBZE,KEREVIZ,KG,10,30.0,20.0
04/15/2025,SEBZE,LAHANA  BURUKSEL,KG,20,50.0,35.0
04/15/2025,SEBZE,MANTAR,KG,75,160.0,117.5
04/15/2025,SEBZE,MARUL,ADET,10,30.0,20.0
04/15/2025,SEBZE,MARUL KIVIRCIK,ADET,20,35.0,27.5
04/15/2025,SEBZE,PANCAR,KG,10,20.0,15.0
04/15/2025,SEBZE,PATLICAN  UZUN,KG,30,50.0,40.0
04/15/2025,SEBZE,PAZI,ADET,10,20.0,15.0
04/15/2025,SEBZE,SALATALIK ,KG,25,45.0,35.0
04/15/2025,SEBZE,SARIMSAK  KURU,KG,130,230.0,180.0
04/15/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
04/15/2025,SEBZE,SOĞAN   TAZE,KG,25,50.0,37.5
04/15/2025,SEBZE,TURP DİĞER,KG,10,25.0,17.5
04/15/2025,SEBZE,YERELMASI,KG,20,50.0,35.0
04/15/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
04/15/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
04/15/2025,SEBZE,ARMUT  DEVECI,KG,20,55.0,37.5
04/15/2025,SEBZE,ARMUT  S.MARIA,KG,25,60.0,42.5
04/15/2025,SEBZE,BADEM-ÇAĞLA,KG,80,145.0,112.5
04/15/2025,SEBZE,ELMA  AMASYA,KG,30,50.0,40.0
04/15/2025,SEBZE,ELMA  GOLDEN,KG,15,45.0,30.0
04/15/2025,SEBZE,ELMA GSMİT,KG,15,55.0,35.0
04/15/2025,SEBZE,GREYFURT,KG,15,35.0,25.0
04/15/2025,SEBZE,LİMON  YENİ (MAYER),KG,20,60.0,40.0
04/15/2025,SEBZE,LİMON LAMAS,KG,15,60.0,37.5
04/15/2025,SEBZE,MUZ  YERLI,KG,35,90.0,62.5
04/15/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
04/15/2025,SEBZE,PORTAKAL WASHINGTON,KG,15,40.0,27.5
04/15/2025,SEBZE,ANANAS,ADET,65,100.0,82.5
04/15/2025,SEBZE,BİBER KALİFORNİYA,KG,80,130.0,105.0
04/15/2025,SEBZE,MANGO,ADET,35,60.0,47.5
04/15/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
04/15/2025,SEBZE,BİBER  KIL ACI,KG,60,120.0,90.0
04/15/2025,SEBZE,BİBER ÇARLİSTON,KG,35,70.0,52.5
04/15/2025,SEBZE,BİBER KÖY(MAZO),KG,40,85.0,62.5
04/15/2025,SEBZE,CİBEZ,KG,20,55.0,37.5
04/15/2025,SEBZE,DOMATES  SALKIM,KG,20,40.0,30.0
04/15/2025,SEBZE,DOMATES (DİĞER),KG,25,45.0,35.0
04/15/2025,SEBZE,DOMATES PEMBE,KG,30,45.0,37.5
04/15/2025,SEBZE,FASULYE   AYSE,KG,70,150.0,110.0
04/15/2025,SEBZE,HAVUÇ,KG,15,35.0,25.0
04/15/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
04/15/2025,SEBZE,KARNABAHAR,KG,15,30.0,22.5
04/15/2025,SEBZE,KAVUN DİĞER,KG,40,120.0,80.0
04/15/2025,SEBZE,LAHANA  BEYAZ,KG,10,25.0,17.5
04/15/2025,SEBZE,LAHANA  KIRMIZI,KG,10,30.0,20.0
04/15/2025,SEBZE,MANTAR (İSTİRİDYE),KG,100,180.0,140.0
04/15/2025,SEBZE,MARUL AYSBERG,ADET,12,35.0,23.5
04/15/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
04/15/2025,SEBZE,PATATES DİĞER,KG,10,30.0,20.0
04/15/2025,SEBZE,PATLICAN TOPAN,KG,25,40.0,32.5
04/15/2025,SEBZE,PIRASA,KG,10,30.0,20.0
04/15/2025,SEBZE,SALATALIK  SİLOR,KG,25,40.0,32.5
04/15/2025,SEBZE,SEMIZ OTU,ADET,20,35.0,27.5
04/15/2025,SEBZE,SOĞAN   KURU,KG,15,45.0,30.0
04/15/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
04/15/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
04/15/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
04/15/2025,SEBZE,Y.REYHAN,ADET,8,25.0,16.5
04/15/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
04/15/2025,SEBZE,ARMUT  DİĞER,KG,20,60.0,40.0
04/15/2025,SEBZE,AYVA,KG,20,55.0,37.5
04/15/2025,SEBZE,CILEK,KG,60,120.0,90.0
04/15/2025,SEBZE,ELMA  DİĞER,KG,15,55.0,35.0
04/15/2025,SEBZE,ELMA  STARKING,KG,20,60.0,40.0
04/15/2025,SEBZE,ERİK DİĞER,KG,300,500.0,400.0
04/15/2025,SEBZE,KIVI  ,KG,50,110.0,80.0
04/15/2025,SEBZE,LİMON DİĞER ,KG,25,60.0,42.5
04/15/2025,SEBZE,MANDALİNA DİĞER,KG,10,40.0,25.0
04/15/2025,SEBZE,NAR,KG,40,80.0,60.0
04/15/2025,SEBZE,PORTAKAL   FINIKE,KG,15,45.0,30.0
04/15/2025,SEBZE,AVAKADO,ADET,25,80.0,52.5
04/15/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,75.0,57.5
04/15/2025,SEBZE,MUZ  ITHAL,KG,45,125.0,85.0
04/15/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
04/16/2025,SEBZE,BİBER  DOLMA,KG,45,65.0,55.0
04/16/2025,SEBZE,BİBER  SİVRİ,KG,55,110.0,82.5
04/16/2025,SEBZE,BİBER KIRMIZI,KG,45,85.0,65.0
04/16/2025,SEBZE,BROKOLI,KG,20,50.0,35.0
04/16/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,40.0,25.0
04/16/2025,SEBZE,DOMATES CHERRY,KG,25,40.0,32.5
04/16/2025,SEBZE,DOMATES (KOKTEYL),KG,30,45.0,37.5
04/16/2025,SEBZE,ENGINAR,ADET,20,50.0,35.0
04/16/2025,SEBZE,FASULYE   CALI,KG,65,110.0,87.5
04/16/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
04/16/2025,SEBZE,KABAK TAZE,KG,30,50.0,40.0
04/16/2025,SEBZE,KARPUZ,KG,20,40.0,30.0
04/16/2025,SEBZE,KEREVIZ,KG,10,30.0,20.0
04/16/2025,SEBZE,LAHANA  BURUKSEL,KG,20,50.0,35.0
04/16/2025,SEBZE,MANTAR,KG,75,160.0,117.5
04/16/2025,SEBZE,MARUL,ADET,10,30.0,20.0
04/16/2025,SEBZE,MARUL KIVIRCIK,ADET,20,35.0,27.5
04/16/2025,SEBZE,PANCAR,KG,10,20.0,15.0
04/16/2025,SEBZE,PATLICAN  UZUN,KG,30,50.0,40.0
04/16/2025,SEBZE,PAZI,ADET,10,20.0,15.0
04/16/2025,SEBZE,SALATALIK ,KG,25,45.0,35.0
04/16/2025,SEBZE,SARIMSAK  KURU,KG,130,230.0,180.0
04/16/2025,SEBZE,SOĞAN   KIRMIZI,KG,17,50.0,33.5
04/16/2025,SEBZE,SOĞAN   TAZE,KG,25,50.0,37.5
04/16/2025,SEBZE,TURP DİĞER,KG,10,25.0,17.5
04/16/2025,SEBZE,YERELMASI,KG,20,50.0,35.0
04/16/2025,SEBZE,Y.NANE,BAĞ,3,6.0,4.5
04/16/2025,SEBZE,Y.ROKA,BAĞ,3,6.0,4.5
04/16/2025,SEBZE,ARMUT  DEVECI,KG,20,55.0,37.5
04/16/2025,SEBZE,ARMUT  S.MARIA,KG,25,60.0,42.5
04/16/2025,SEBZE,BADEM-ÇAĞLA,KG,80,145.0,112.5
04/16/2025,SEBZE,ELMA  AMASYA,KG,30,50.0,40.0
04/16/2025,SEBZE,ELMA  GOLDEN,KG,15,45.0,30.0
04/16/2025,SEBZE,ELMA GSMİT,KG,15,55.0,35.0
04/16/2025,SEBZE,GREYFURT,KG,15,35.0,25.0
04/16/2025,SEBZE,LİMON  YENİ (MAYER),KG,20,60.0,40.0
04/16/2025,SEBZE,LİMON LAMAS,KG,15,60.0,37.5
04/16/2025,SEBZE,MUZ  YERLI,KG,35,90.0,62.5
04/16/2025,SEBZE,PORTAKAL  ,KG,20,45.0,32.5
04/16/2025,SEBZE,PORTAKAL WASHINGTON,KG,15,40.0,27.5
04/16/2025,SEBZE,ANANAS,ADET,65,100.0,82.5
04/16/2025,SEBZE,BİBER KALİFORNİYA,KG,80,130.0,105.0
04/16/2025,SEBZE,MANGO,ADET,35,60.0,47.5
04/16/2025,SEBZE,PİTAHAYA,ADET,50,100.0,75.0
04/16/2025,SEBZE,BİBER  KIL ACI,KG,60,110.0,85.0
04/16/2025,SEBZE,BİBER ÇARLİSTON,KG,35,70.0,52.5
04/16/2025,SEBZE,BİBER KÖY(MAZO),KG,40,80.0,60.0
04/16/2025,SEBZE,CİBEZ,KG,20,55.0,37.5
04/16/2025,SEBZE,DOMATES  SALKIM,KG,20,40.0,30.0
04/16/2025,SEBZE,DOMATES (DİĞER),KG,25,45.0,35.0
04/16/2025,SEBZE,DOMATES PEMBE,KG,30,45.0,37.5
04/16/2025,SEBZE,FASULYE   AYSE,KG,70,140.0,105.0
04/16/2025,SEBZE,HAVUÇ,KG,15,35.0,25.0
04/16/2025,SEBZE,KABAK  BAL,KG,15,30.0,22.5
04/16/2025,SEBZE,KARNABAHAR,KG,15,35.0,25.0
04/16/2025,SEBZE,KAVUN DİĞER,KG,40,120.0,80.0
04/16/2025,SEBZE,LAHANA  BEYAZ,KG,10,25.0,17.5
04/16/2025,SEBZE,LAHANA  KIRMIZI,KG,10,30.0,20.0
04/16/2025,SEBZE,MANTAR (İSTİRİDYE),KG,100,180.0,140.0
04/16/2025,SEBZE,MARUL AYSBERG,ADET,12,35.0,23.5
04/16/2025,SEBZE,MARUL LOLOROSSO,ADET,10,40.0,25.0
04/16/2025,SEBZE,PATATES DİĞER,KG,10,30.0,20.0
04/16/2025,SEBZE,PATLICAN TOPAN,KG,25,40.0,32.5
04/16/2025,SEBZE,PIRASA,KG,10,30.0,20.0
04/16/2025,SEBZE,SALATALIK  SİLOR,KG,25,40.0,32.5
04/16/2025,SEBZE,SEMIZ OTU,ADET,20,35.0,27.5
04/16/2025,SEBZE,SOĞAN   KURU,KG,15,45.0,30.0
04/16/2025,SEBZE,TURP  KIRMIZI,KG,15,25.0,20.0
04/16/2025,SEBZE,Y.DEREOTU,BAĞ,3,7.0,5.0
04/16/2025,SEBZE,Y.MAYDONOZ,BAĞ,3,6.0,4.5
04/16/2025,SEBZE,Y.REYHAN,ADET,8,25.0,16.5
04/16/2025,SEBZE,Y.TERE,BAĞ,3,7.0,5.0
04/16/2025,SEBZE,ARMUT  DİĞER,KG,20,60.0,40.0
04/16/2025,SEBZE,AYVA,KG,20,55.0,37.5
04/16/2025,SEBZE,CILEK,KG,60,110.0,85.0
04/16/2025,SEBZE,ELMA  DİĞER,KG,15,55.0,35.0
04/16/2025,SEBZE,ELMA  STARKING,KG,20,60.0,40.0
04/16/2025,SEBZE,ERİK DİĞER,KG,300,500.0,400.0
04/16/2025,SEBZE,KIVI  ,KG,50,110.0,80.0
04/16/2025,SEBZE,LİMON DİĞER ,KG,25,60.0,42.5
04/16/2025,SEBZE,MANDALİNA DİĞER,KG,20,50.0,35.0
04/16/2025,SEBZE,NAR,KG,40,80.0,60.0
04/16/2025,SEBZE,PORTAKAL   FINIKE,KG,15,45.0,30.0
04/16/2025,SEBZE,AVAKADO,ADET,25,80.0,52.5
04/16/2025,SEBZE,HINDISTAN CEVIZI,ADET,40,75.0,57.5
04/16/2025,SEBZE,MUZ  ITHAL,KG,45,125.0,85.0
04/16/2025,SEBZE,ZENCEFİL,KG,80,200.0,140.0
04/17/2025,SEBZE,BİBER  DOLMA,KG,45,60.0,52.5
04/17/2025,SEBZE,BİBER  SİVRİ,KG,55,110.0,82.5
04/17/2025,SEBZE,BİBER KIRMIZI,KG,45,80.0,62.5
04/17/2025,SEBZE,BROKOLI,KG,20,60.0,40.0
04/17/2025,SEBZE,DENIZ BÖRÜLCESİ,ADET,10,30.0,20.0
04/17/2025,SEBZE,DOMATES CHERRY,KG,25,40.0,32.5
04/17/2025,SEBZE,DOMATES (KOKTEYL),KG,30,40.0,35.0
04/17/2025,SEBZE,ENGINAR,ADET,20,50.0,35.0
04/17/2025,SEBZE,FASULYE   CALI,KG,65,100.0,82.5
04/17/2025,SEBZE,ISPANAK,KG,15,30.0,22.5
