;;;"T.C.
ÝZMÝR BÜYÜKÞEHÝR BELEDÝYE BAÞKANLIÐI
";;;;;;;;;;;;;;
;;;"SEBZE HALLERÝ ÞUBE MÜDÜRLÜÐÜ
Günlük Bülten Ücretleri";;;;;;;;;;;;;;
Bülten Tarihi ;;:;;1.01.2025;;;;;;;;;;;;;
Mal Tipi          ;;:;;SEBZE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
29;KAVUN KIRKAÐAÇ;;;;KG;15;;30;22,5;;30;KEREVIZ;;KG;20;35;27,5
31;LAHANA  BEYAZ;;;;KG;10;;30;20;;32;LAHANA  BURUKSEL;;KG;30;65;47,5
33;LAHANA  KIRMIZI;;;;KG;25;;60;42,5;;34;MANTAR;;KG;60;140;100
35;MANTAR (ÝSTÝRÝDYE);;;;KG;65;;170;117,5;;36;MARUL;;ADET;10;35;22,5
37;MARUL AYSBERG;;;;ADET;12;;45;28,5;;38;MARUL KIVIRCIK;;ADET;20;40;30
39;MARUL LOLOROSSO;;;;ADET;10;;40;25;;40;PANCAR;;KG;10;30;20
41;PATATES  CALMA;;;;KG;10;;25;17,5;;42;PATATES DÝÐER;;KG;8;25;16,5
43;PATATES TAZE;;;;KG;10;;35;22,5;;44;PATLICAN  UZUN;;KG;35;80;57,5
45;PATLICAN TOPAN;;;;KG;35;;80;57,5;;46;PAZI;;ADET;10;25;17,5
47;PIRASA;;;;KG;10;;35;22,5;;48;SALATALIK ;;KG;30;55;42,5
49;SALATALIK  SÝLOR;;;;KG;25;;55;40;;50;SALATALIK ÇENGELKÖY;;KG;25;45;35
51;SARIMSAK  KURU;;;;KG;60;;200;130;;52;SEMIZ OTU;;ADET;10;25;17,5
53;SOÐAN   KIRMIZI;;;;KG;17;;50;33,5;;54;SOÐAN   KURU;;KG;10;30;20
55;SOÐAN   TAZE;;;;KG;35;;80;57,5;;56;SOÐAN MOR;;KG;15;35;25
57;TURP  KIRMIZI;;;;KG;15;;25;20;;58;TURP DÝÐER;;KG;10;20;15
59;Y.DEREOTU;;;;BAÐ;3;;8;5,5;;60;YERELMASI;;KG;30;50;40
61;Y.MAYDONOZ;;;;BAÐ;3;;6;4,5;;62;Y.NANE;;BAÐ;3;6;4,5
63;Y.REYHAN;;;;ADET;8;;20;14;;64;Y.ROKA;;BAÐ;3;6;4,5
65;Y.TERE;;;;BAÐ;3;;7;5;;;;;;;;
Mal Tipi          ;;:;;MEYVE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ARMUT  DEVECI;;;;KG;20;;55;37,5;;2;ARMUT  DÝÐER;;KG;20;50;35
3;ARMUT  S.MARIA;;;;KG;25;;60;42,5;;4;ARMUT AKÇA;;KG;20;45;32,5
5;AYVA;;;;KG;20;;50;35;;6;CENNET ELMASI;;KG;35;80;57,5
7;CILEK;;;;KG;190;;280;235;;8;ELMA  AMASYA;;KG;30;55;42,5
9;ELMA  ARJANTÝN;;;;KG;20;;45;32,5;;10;ELMA  DÝÐER;;KG;15;45;30
11;ELMA  GOLDEN;;;;KG;15;;35;25;;12;ELMA  STARKING;;KG;20;40;30
13;ELMA GSMÝT;;;;KG;15;;50;32,5;;14;GREYFURT;;KG;15;30;22,5
15;KESTANE;;;;KG;100;;200;150;;16;KIVI  ;;KG;50;90;70
17;LÝMON  YENÝ (MAYER);;;;KG;10;;20;15;;18;LÝMON DÝÐER ;;KG;15;35;25
19;LÝMON LAMAS;;;;KG;15;;30;22,5;;20;MANDALÝNA;;KG;15;40;27,5
21;MANDALÝNA DÝÐER;;;;KG;10;;30;20;;22;MANDALÝNA SATSUMA;;KG;20;45;32,5
23;MUÞMULA;;;;KG;20;;50;35;;24;MUZ  YERLI;;KG;35;55;45
25;NAR;;;;KG;20;;40;30;;26;PORTAKAL  ;;KG;20;45;32,5
27;PORTAKAL   FINIKE;;;;KG;20;;45;32,5;;28;PORTAKAL DÝÐER;;KG;10;30;20
29;PORTAKAL WASHINGTON;;;;KG;20;;45;32,5;;;;;;;;
Mal Tipi          ;;:;;ÝTHAL;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ANANAS;;;;ADET;40;;95;67,5;;2;AVAKADO;;ADET;25;50;37,5
3;BÝBER KALÝFORNÝYA;;;;KG;80;;140;110;;4;HINDISTAN CEVIZI;;ADET;40;65;52,5
5;MANGO;;;;ADET;35;;70;52,5;;6;MUZ  ITHAL;;KG;45;75;60
7;PÝTAHAYA;;;;ADET;50;;100;75;;8;ZENCEFÝL;;KG;80;200;140
Bülten Tarihi ;;:;;7.01.2025;;;;;;;;;;;;;
Mal Tipi          ;;:;;SEBZE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;BAKLA;;;;KG;30;;70;50;;2;BÝBER  DOLMA;;KG;25;60;42,5
3;BÝBER  KIL ACI;;;;KG;40;;100;70;;4;BÝBER  SÝVRÝ;;KG;40;100;70
5;BÝBER ÇARLÝSTON;;;;KG;30;;80;55;;6;BÝBER KIRMIZI;;KG;35;90;62,5
7;BÝBER KÖY(MAZO);;;;KG;25;;90;57,5;;8;BÝBER SÝVRÝ (DÝÐER);;KG;25;75;50
9;BROKOLI;;;;KG;25;;50;37,5;;10;DENIZ BÖRÜLCESÝ;;ADET;10;20;15
11;DOMATES  BEEF;;;;KG;15;;45;30;;12;DOMATES  SALKIM;;KG;35;65;50
13;DOMATES CHERRY;;;;KG;30;;70;50;;14;DOMATES (DÝÐER);;KG;40;70;55
15;DOMATES (KOKTEYL);;;;KG;35;;75;55;;16;DOMATES PEMBE;;KG;35;60;47,5
17;DOMATES SALKIM  (ÝYÝ TARIM);;;;KG;30;;85;57,5;;18;FASULYE   AYSE;;KG;40;100;70
19;FASULYE   CALI;;;;KG;45;;90;67,5;;20;HAVUÇ;;KG;15;30;22,5
21;HAVUÇ BEYPAZARI;;;;KG;8;;25;16,5;;22;ISPANAK;;KG;15;30;22,5
23;KABAK  BAL;;;;KG;15;;30;22,5;;24;KABAK TAZE;;KG;25;45;35
25;KARNABAHAR;;;;KG;25;;55;40;;26;KARPUZ;;KG;20;35;27,5
27;KAVUN  SERA;;;;KG;20;;35;27,5;;28;KAVUN DÝÐER;;KG;15;40;27,5
29;KAVUN KIRKAÐAÇ;;;;KG;15;;30;22,5;;30;KEREVIZ;;KG;20;35;27,5
31;LAHANA  BEYAZ;;;;KG;10;;30;20;;32;LAHANA  BURUKSEL;;KG;30;65;47,5
33;LAHANA  KIRMIZI;;;;KG;25;;60;42,5;;34;MANTAR;;KG;60;140;100
35;MANTAR (ÝSTÝRÝDYE);;;;KG;65;;170;117,5;;36;MARUL;;ADET;10;35;22,5
37;MARUL AYSBERG;;;;ADET;12;;45;28,5;;38;MARUL KIVIRCIK;;ADET;20;40;30
39;MARUL LOLOROSSO;;;;ADET;10;;40;25;;40;PANCAR;;KG;10;30;20
41;PATATES  CALMA;;;;KG;10;;25;17,5;;42;PATATES DÝÐER;;KG;8;25;16,5
43;PATATES TAZE;;;;KG;10;;35;22,5;;44;PATLICAN  UZUN;;KG;35;80;57,5
45;PATLICAN TOPAN;;;;KG;35;;80;57,5;;46;PAZI;;ADET;10;25;17,5
47;PIRASA;;;;KG;10;;35;22,5;;48;SALATALIK ;;KG;30;55;42,5
49;SALATALIK  SÝLOR;;;;KG;25;;55;40;;50;SALATALIK ÇENGELKÖY;;KG;25;45;35
51;SARIMSAK  KURU;;;;KG;60;;200;130;;52;SEMIZ OTU;;ADET;10;25;17,5
53;SOÐAN   KIRMIZI;;;;KG;17;;50;33,5;;54;SOÐAN   KURU;;KG;10;30;20
55;SOÐAN   TAZE;;;;KG;35;;80;57,5;;56;SOÐAN MOR;;KG;15;35;25
57;TURP  KIRMIZI;;;;KG;15;;25;20;;58;TURP DÝÐER;;KG;10;20;15
59;Y.DEREOTU;;;;BAÐ;3;;8;5,5;;60;YERELMASI;;KG;30;50;40
61;Y.MAYDONOZ;;;;BAÐ;3;;6;4,5;;62;Y.NANE;;BAÐ;3;6;4,5
63;Y.REYHAN;;;;ADET;8;;20;14;;64;Y.ROKA;;BAÐ;3;6;4,5
65;Y.TERE;;;;BAÐ;3;;7;5;;;;;;;;
Mal Tipi          ;;:;;MEYVE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ARMUT  DEVECI;;;;KG;20;;55;37,5;;2;ARMUT  DÝÐER;;KG;20;50;35
3;ARMUT  S.MARIA;;;;KG;25;;60;42,5;;4;ARMUT AKÇA;;KG;20;45;32,5
5;AYVA;;;;KG;20;;50;35;;6;CENNET ELMASI;;KG;35;80;57,5
7;CILEK;;;;KG;190;;280;235;;8;ELMA  AMASYA;;KG;30;55;42,5
9;ELMA  ARJANTÝN;;;;KG;20;;45;32,5;;10;ELMA  DÝÐER;;KG;15;45;30
11;ELMA  GOLDEN;;;;KG;15;;35;25;;12;ELMA  STARKING;;KG;20;40;30
13;ELMA GSMÝT;;;;KG;15;;50;32,5;;14;GREYFURT;;KG;15;30;22,5
15;KESTANE;;;;KG;100;;200;150;;16;KIVI  ;;KG;50;90;70
17;LÝMON  YENÝ (MAYER);;;;KG;10;;20;15;;18;LÝMON DÝÐER ;;KG;15;35;25
19;LÝMON LAMAS;;;;KG;15;;30;22,5;;20;MANDALÝNA;;KG;15;40;27,5
21;MANDALÝNA DÝÐER;;;;KG;10;;30;20;;22;MANDALÝNA SATSUMA;;KG;20;45;32,5
23;MUÞMULA;;;;KG;20;;50;35;;24;MUZ  YERLI;;KG;35;55;45
25;NAR;;;;KG;20;;40;30;;26;PORTAKAL  ;;KG;20;45;32,5
27;PORTAKAL   FINIKE;;;;KG;20;;45;32,5;;28;PORTAKAL DÝÐER;;KG;10;30;20
29;PORTAKAL WASHINGTON;;;;KG;20;;45;32,5;;;;;;;;
Mal Tipi          ;;:;;ÝTHAL;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ANANAS;;;;ADET;40;;95;67,5;;2;AVAKADO;;ADET;25;50;37,5
3;BÝBER KALÝFORNÝYA;;;;KG;80;;140;110;;4;HINDISTAN CEVIZI;;ADET;40;65;52,5
5;MANGO;;;;ADET;35;;70;52,5;;6;MUZ  ITHAL;;KG;45;75;60
7;PÝTAHAYA;;;;ADET;50;;100;75;;8;ZENCEFÝL;;KG;80;200;140
Bülten Tarihi ;;:;;8.01.2025;;;;;;;;;;;;;
Mal Tipi          ;;:;;SEBZE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;BAKLA;;;;KG;30;;70;50;;2;BÝBER  DOLMA;;KG;25;60;42,5
3;BÝBER  KIL ACI;;;;KG;40;;90;65;;4;BÝBER  SÝVRÝ;;KG;40;100;70
5;BÝBER ÇARLÝSTON;;;;KG;30;;80;55;;6;BÝBER KIRMIZI;;KG;35;80;57,5
7;BÝBER KÖY(MAZO);;;;KG;25;;90;57,5;;8;BÝBER SÝVRÝ (DÝÐER);;KG;25;75;50
9;BROKOLI;;;;KG;25;;40;32,5;;10;DENIZ BÖRÜLCESÝ;;ADET;10;20;15
11;DOMATES  BEEF;;;;KG;15;;45;30;;12;DOMATES  SALKIM;;KG;35;65;50
13;DOMATES CHERRY;;;;KG;30;;70;50;;14;DOMATES (DÝÐER);;KG;40;70;55
15;DOMATES (KOKTEYL);;;;KG;35;;75;55;;16;DOMATES PEMBE;;KG;35;70;52,5
17;DOMATES SALKIM  (ÝYÝ TARIM);;;;KG;30;;85;57,5;;18;FASULYE   AYSE;;KG;40;100;70
19;FASULYE   CALI;;;;KG;45;;90;67,5;;20;HAVUÇ;;KG;15;30;22,5
21;HAVUÇ BEYPAZARI;;;;KG;8;;25;16,5;;22;ISPANAK;;KG;15;30;22,5
23;KABAK  BAL;;;;KG;15;;30;22,5;;24;KABAK TAZE;;KG;25;45;35
25;KARNABAHAR;;;;KG;25;;55;40;;26;KARPUZ;;KG;20;35;27,5
27;KAVUN  SERA;;;;KG;20;;35;27,5;;28;KAVUN DÝÐER;;KG;15;40;27,5
29;KAVUN KIRKAÐAÇ;;;;KG;15;;30;22,5;;30;KEREVIZ;;KG;20;35;27,5
31;LAHANA  BEYAZ;;;;KG;10;;30;20;;32;LAHANA  BURUKSEL;;KG;30;65;47,5
33;LAHANA  KIRMIZI;;;;KG;25;;60;42,5;;34;MANTAR;;KG;60;140;100
35;MANTAR (ÝSTÝRÝDYE);;;;KG;65;;170;117,5;;36;MARUL;;ADET;10;35;22,5
37;MARUL AYSBERG;;;;ADET;12;;45;28,5;;38;MARUL KIVIRCIK;;ADET;20;40;30
39;MARUL LOLOROSSO;;;;ADET;10;;40;25;;40;PANCAR;;KG;10;30;20
41;PATATES  CALMA;;;;KG;10;;25;17,5;;42;PATATES DÝÐER;;KG;8;25;16,5
43;PATATES TAZE;;;;KG;10;;35;22,5;;44;PATLICAN  UZUN;;KG;35;80;57,5
45;PATLICAN TOPAN;;;;KG;35;;80;57,5;;46;PAZI;;ADET;10;25;17,5
47;PIRASA;;;;KG;10;;35;22,5;;48;SALATALIK ;;KG;30;55;42,5
49;SALATALIK  SÝLOR;;;;KG;25;;55;40;;50;SALATALIK ÇENGELKÖY;;KG;25;45;35
51;SARIMSAK  KURU;;;;KG;60;;200;130;;52;SEMIZ OTU;;ADET;10;25;17,5
53;SOÐAN   KIRMIZI;;;;KG;17;;50;33,5;;54;SOÐAN   KURU;;KG;10;30;20
55;SOÐAN   TAZE;;;;KG;35;;80;57,5;;56;SOÐAN MOR;;KG;15;35;25
57;TURP  KIRMIZI;;;;KG;15;;25;20;;58;TURP DÝÐER;;KG;10;20;15
59;Y.DEREOTU;;;;BAÐ;3;;8;5,5;;60;YERELMASI;;KG;30;50;40
61;Y.MAYDONOZ;;;;BAÐ;3;;6;4,5;;62;Y.NANE;;BAÐ;3;6;4,5
63;Y.REYHAN;;;;ADET;8;;20;14;;64;Y.ROKA;;BAÐ;3;6;4,5
65;Y.TERE;;;;BAÐ;3;;7;5;;;;;;;;
Mal Tipi          ;;:;;MEYVE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ARMUT  DEVECI;;;;KG;20;;50;35;;2;ARMUT  DÝÐER;;KG;20;50;35
3;ARMUT  S.MARIA;;;;KG;25;;60;42,5;;4;ARMUT AKÇA;;KG;20;45;32,5
5;AYVA;;;;KG;20;;50;35;;6;CENNET ELMASI;;KG;35;80;57,5
7;CILEK;;;;KG;190;;270;230;;8;ELMA  AMASYA;;KG;30;55;42,5
9;ELMA  ARJANTÝN;;;;KG;20;;45;32,5;;10;ELMA  DÝÐER;;KG;15;45;30
11;ELMA  GOLDEN;;;;KG;15;;35;25;;12;ELMA  STARKING;;KG;20;40;30
13;ELMA GSMÝT;;;;KG;15;;50;32,5;;14;GREYFURT;;KG;15;30;22,5
15;KESTANE;;;;KG;100;;200;150;;16;KIVI  ;;KG;50;90;70
17;LÝMON  YENÝ (MAYER);;;;KG;10;;20;15;;18;LÝMON DÝÐER ;;KG;15;35;25
19;LÝMON LAMAS;;;;KG;15;;30;22,5;;20;MANDALÝNA;;KG;15;40;27,5
21;MANDALÝNA DÝÐER;;;;KG;10;;30;20;;22;MANDALÝNA SATSUMA;;KG;20;45;32,5
23;MUÞMULA;;;;KG;20;;50;35;;24;MUZ  YERLI;;KG;35;55;45
25;NAR;;;;KG;20;;40;30;;26;PORTAKAL  ;;KG;20;45;32,5
27;PORTAKAL   FINIKE;;;;KG;20;;45;32,5;;28;PORTAKAL DÝÐER;;KG;10;30;20
29;PORTAKAL WASHINGTON;;;;KG;20;;45;32,5;;;;;;;;
Mal Tipi          ;;:;;ÝTHAL;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ANANAS;;;;ADET;40;;95;67,5;;2;AVAKADO;;ADET;25;50;37,5
3;BÝBER KALÝFORNÝYA;;;;KG;80;;140;110;;4;HINDISTAN CEVIZI;;ADET;40;65;52,5
5;MANGO;;;;ADET;35;;70;52,5;;6;MUZ  ITHAL;;KG;45;75;60
7;PÝTAHAYA;;;;ADET;50;;100;75;;8;ZENCEFÝL;;KG;80;200;140
Bülten Tarihi ;;:;;9.01.2025;;;;;;;;;;;;;
Mal Tipi          ;;:;;SEBZE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;BAKLA;;;;KG;30;;70;50;;2;BÝBER  DOLMA;;KG;25;60;42,5
3;BÝBER  KIL ACI;;;;KG;40;;90;65;;4;BÝBER  SÝVRÝ;;KG;40;100;70
5;BÝBER ÇARLÝSTON;;;;KG;30;;80;55;;6;BÝBER KIRMIZI;;KG;35;80;57,5
7;BÝBER KÖY(MAZO);;;;KG;25;;90;57,5;;8;BÝBER SÝVRÝ (DÝÐER);;KG;25;75;50
9;BROKOLI;;;;KG;25;;40;32,5;;10;DENIZ BÖRÜLCESÝ;;ADET;10;20;15
11;DOMATES  BEEF;;;;KG;15;;45;30;;12;DOMATES  SALKIM;;KG;35;65;50
13;DOMATES CHERRY;;;;KG;30;;70;50;;14;DOMATES (DÝÐER);;KG;40;70;55
15;DOMATES (KOKTEYL);;;;KG;35;;75;55;;16;DOMATES PEMBE;;KG;35;70;52,5
17;DOMATES SALKIM  (ÝYÝ TARIM);;;;KG;30;;85;57,5;;18;FASULYE   AYSE;;KG;40;100;70
19;FASULYE   CALI;;;;KG;45;;90;67,5;;20;HAVUÇ;;KG;15;30;22,5
21;HAVUÇ BEYPAZARI;;;;KG;8;;25;16,5;;22;ISPANAK;;KG;15;30;22,5
23;KABAK  BAL;;;;KG;15;;30;22,5;;24;KABAK TAZE;;KG;25;45;35
25;KARNABAHAR;;;;KG;25;;55;40;;26;KARPUZ;;KG;20;35;27,5
27;KAVUN  SERA;;;;KG;20;;35;27,5;;28;KAVUN DÝÐER;;KG;15;40;27,5
29;KAVUN KIRKAÐAÇ;;;;KG;15;;30;22,5;;30;KEREVIZ;;KG;20;35;27,5
31;LAHANA  BEYAZ;;;;KG;10;;30;20;;32;LAHANA  BURUKSEL;;KG;30;65;47,5
33;LAHANA  KIRMIZI;;;;KG;25;;60;42,5;;34;MANTAR;;KG;60;140;100
35;MANTAR (ÝSTÝRÝDYE);;;;KG;65;;170;117,5;;36;MARUL;;ADET;10;35;22,5
37;MARUL AYSBERG;;;;ADET;12;;45;28,5;;38;MARUL KIVIRCIK;;ADET;20;40;30
39;MARUL LOLOROSSO;;;;ADET;10;;40;25;;40;PANCAR;;KG;10;30;20
41;PATATES  CALMA;;;;KG;10;;25;17,5;;42;PATATES DÝÐER;;KG;8;25;16,5
43;PATATES TAZE;;;;KG;10;;35;22,5;;44;PATLICAN  UZUN;;KG;35;80;57,5
45;PATLICAN TOPAN;;;;KG;35;;80;57,5;;46;PAZI;;ADET;10;25;17,5
47;PIRASA;;;;KG;10;;35;22,5;;48;SALATALIK ;;KG;30;55;42,5
49;SALATALIK  SÝLOR;;;;KG;25;;55;40;;50;SALATALIK ÇENGELKÖY;;KG;25;45;35
51;SARIMSAK  KURU;;;;KG;60;;200;130;;52;SEMIZ OTU;;ADET;10;25;17,5
53;SOÐAN   KIRMIZI;;;;KG;17;;50;33,5;;54;SOÐAN   KURU;;KG;10;30;20
55;SOÐAN   TAZE;;;;KG;35;;80;57,5;;56;SOÐAN MOR;;KG;15;35;25
57;TURP  KIRMIZI;;;;KG;15;;25;20;;58;TURP DÝÐER;;KG;10;20;15
59;Y.DEREOTU;;;;BAÐ;3;;7;5;;60;YERELMASI;;KG;30;50;40
61;Y.MAYDONOZ;;;;BAÐ;3;;6;4,5;;62;Y.NANE;;BAÐ;3;6;4,5
63;Y.REYHAN;;;;ADET;8;;20;14;;64;Y.ROKA;;BAÐ;3;6;4,5
65;Y.TERE;;;;BAÐ;3;;7;5;;;;;;;;
Mal Tipi          ;;:;;MEYVE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ARMUT  DEVECI;;;;KG;20;;50;35;;2;ARMUT  DÝÐER;;KG;20;50;35
3;ARMUT  S.MARIA;;;;KG;25;;60;42,5;;4;ARMUT AKÇA;;KG;20;45;32,5
5;AYVA;;;;KG;20;;50;35;;6;CENNET ELMASI;;KG;35;80;57,5
7;CILEK;;;;KG;190;;260;225;;8;ELMA  AMASYA;;KG;30;55;42,5
9;ELMA  ARJANTÝN;;;;KG;20;;45;32,5;;10;ELMA  DÝÐER;;KG;15;45;30
11;ELMA  GOLDEN;;;;KG;15;;35;25;;12;ELMA  STARKING;;KG;20;40;30
13;ELMA GSMÝT;;;;KG;15;;50;32,5;;14;GREYFURT;;KG;15;30;22,5
15;KESTANE;;;;KG;100;;200;150;;16;KIVI  ;;KG;50;90;70
17;LÝMON  YENÝ (MAYER);;;;KG;10;;20;15;;18;LÝMON DÝÐER ;;KG;15;35;25
19;LÝMON LAMAS;;;;KG;15;;30;22,5;;20;MANDALÝNA;;KG;15;40;27,5
21;MANDALÝNA DÝÐER;;;;KG;10;;30;20;;22;MANDALÝNA SATSUMA;;KG;20;45;32,5
23;MUÞMULA;;;;KG;20;;50;35;;24;MUZ  YERLI;;KG;35;55;45
25;NAR;;;;KG;20;;40;30;;26;PORTAKAL  ;;KG;20;45;32,5
27;PORTAKAL   FINIKE;;;;KG;20;;45;32,5;;28;PORTAKAL DÝÐER;;KG;10;30;20
29;PORTAKAL WASHINGTON;;;;KG;20;;45;32,5;;;;;;;;
Mal Tipi          ;;:;;ÝTHAL;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;ANANAS;;;;ADET;40;;95;67,5;;2;AVAKADO;;ADET;25;50;37,5
3;BÝBER KALÝFORNÝYA;;;;KG;80;;140;110;;4;HINDISTAN CEVIZI;;ADET;40;65;52,5
5;MANGO;;;;ADET;35;;70;52,5;;6;MUZ  ITHAL;;KG;45;75;60
7;PÝTAHAYA;;;;ADET;50;;100;75;;8;ZENCEFÝL;;KG;80;200;140
Bülten Tarihi ;;:;;10.01.2025;;;;;;;;;;;;;
Mal Tipi          ;;:;;SEBZE;;;;;;;;;;;;;
S.No;Ürün Adý;;;;Birimi;Asgari Fiyatý;;Azami Fiyatý;Ort. Fiyat;;S.No;Ürün Adý;;Birimi;Asgari Fiyatý;Azami Fiyatý;Ort. Fiyat
1;BAKLA;;;;KG;30;;70;50;;2;BÝBER  DOLMA;;KG;25;60;42,5
3;BÝBER  KIL ACI;;;;KG;40;;90;65;;4;BÝBER  SÝVRÝ;;KG;40;100;70
5;BÝBER ÇARLÝSTON;;;;KG;30;;70;50;;6;BÝBER KIRMIZI;;KG;35;80;57,5
7;BÝBER KÖY(MAZO);;;;KG;25;;90;57,5;;8;BÝBER SÝVRÝ (DÝÐER);;KG;25;75;50
9;BROKOLI;;;;KG;25;;40;32,5;;10;DENIZ BÖRÜLCESÝ;;ADET;10;20;15
11;DOMATES  BEEF;;;;KG;15;;45;30;;12;DOMATES  SALKIM;;KG;35;65;50
13;DOMATES CHERRY;;;;KG;30;;70;50;;14;DOMATES (DÝÐER);;KG;40;70;55
15;DOMATES (KOKTEYL);;;;KG;35;;75;55;;16;DOMATES PEMBE;;KG;35;70;52,5
17;DOMATES SALKIM  (ÝYÝ TARIM);;;;KG;30;;85;57,5;;18;FASULYE   AYSE;;KG;40;110;75
19;FASULYE   CALI;;;;KG;45;;100;72,5;;20;HAVUÇ;;KG;15;30;22,5
21;HAVUÇ BEYPAZARI;;;;KG;8;;25;16,5;;22;ISPANAK;;KG;15;30;22,5
23;KABAK  BAL;;;;KG;15;;30;22,5;;24;KABAK TAZE;;KG;25;45;35
25;KARNABAHAR;;;;KG;25;;55;40;;26;KARPUZ;;KG;20;35;27,5
27;KAVUN  SERA;;;;KG;20;;35;27,5;;28;KAVUN DÝÐER;;KG;15;40;27,5
29;KAVUN KIRKAÐAÇ;;;;KG;15;;30;22,5;;30;KEREVIZ;;KG;20;35;27,5
31;LAHANA  BEYAZ;;;;KG;10;;30;20;;32;LAHANA  BURUKSEL;;KG;30;65;47,5
33;LAHANA  KIRMIZI;;;;KG;25;;60;42,5;;34;MANTAR;;KG;60;140;100
35;MANTAR (ÝSTÝRÝDYE);;;;KG;65;;170;117,5;;36;MARUL;;ADET;10;35;22,5
37;MARUL AYSBERG;;;;ADET;12;;45;28,5;;38;MARUL KIVIRCIK;;ADET;20;40;30
39;MARUL LOLOROSSO;;;;ADET;10;;40;25;;40;PANCAR;;KG;10;30;20
41;PATATES  CALMA;;;;KG;10;;25;17,5;;42;PATATES DÝÐER;;KG;8;25;16,5
43;PATATES TAZE;;;;KG;10;;35;22,5;;44;PATLICAN  UZUN;;KG;35;80;57,5
45;PATLICAN TOPAN;;;;KG;35;;80;57,5;;46;PAZI;;ADET;10;25;17,5
47;PIRASA;;;;KG;10;;35;22,5;;48;SALATALIK ;;KG;30;55;42,5
49;SALATALIK  SÝLOR;;;;KG;25;;55;40;;50;SALATALIK ÇENGELKÖY;;KG;25;45;35
51;SARIMSAK  KURU;;;;KG;60;;200;130;;52;SEMIZ OTU;;ADET;10;25;17,5
53;SOÐAN   KIRMIZI;;;;KG;17;;50;33,5;;54;SOÐAN   KURU;;KG;10;30;20
55;SOÐAN   TAZE;;;;KG;35;;80;57,5;;56;SOÐAN MOR;;KG;15;35;25
57;TURP  KIRMIZI;;;;KG;15;;25;20;;58;TURP DÝÐER;;KG;10;20;15
59;Y.DEREOTU;;;;BAÐ;3;;7;5;;60;YERELMASI;;KG;30;50;40
61;Y.MAYDONOZ;;;;BAÐ;3;;6;4,5;;62;Y.NANE;;BAÐ;3;6;4,5
63;Y.REYHAN;;;;ADET;8;;20;14;;64;Y.ROKA;;BAÐ;3;6;4,5
65;Y.TERE;;;;BAÐ;3;;7;5;;;;;;;;
Mal Tipi          ;;:;;MEYVE;;;;;;;;;;;;;
